"","MnCnt","Pval","LogPval","F.stat","Fold","Den.df"
"Sim0.5Fold1",1.33333333333333,0.441537474058314,-0.817492383585858,0.659501922832793,0.5,3.56516521785214
"Sim0.5Fold2",1.66666666666667,0.387237049556195,-0.948718242320033,0.841651136815827,0.5,3.56516521785214
"Sim0.5Fold3",3.83333333333333,0.255589758672544,-1.36418162507279,1.51277112574156,0.5,3.56516521785214
"Sim0.5Fold4",3.66666666666667,0.0970516036790605,-2.33251244524748,3.58465639079215,0.5,3.56516521785214
"Sim0.5Fold5",4.66666666666667,0.879977790295008,-0.127858610129504,0.0243922277043846,0.5,3.56516521785214
"Sim0.5Fold6",7.33333333333333,0.369726722235105,-0.99499113478854,0.909472750345783,0.5,3.56516521785214
"Sim0.5Fold7",9.16666666666667,0.0826418229500171,-2.49323939548354,3.9976711943344,0.5,3.56516521785214
"Sim0.5Fold8",19.1666666666667,0.156633612937604,-1.85384587645515,2.47281757449242,0.5,3.56516521785214
"Sim0.5Fold9",17.5,0.0634232825550866,-2.75792425222232,4.72331199088886,0.5,3.56516521785214
"Sim0.5Fold10",23.8333333333333,0.00280295666309034,-5.87708046782149,18.8950867193592,0.5,3.56516521785214
"Sim0.5Fold11",32,0.0746192662359627,-2.59535654458024,4.27081895299004,0.5,3.56516521785214
"Sim0.5Fold12",34.1666666666667,0.124191085072793,-2.08593389086097,2.99018502915905,0.5,3.56516521785214
"Sim0.5Fold13",35.8333333333333,0.309676155156566,-1.17222818832661,1.18564687411532,0.5,3.56516521785214
"Sim0.5Fold14",41,0.0233140566605419,-3.75869881016482,8.02976736802249,0.5,3.56516521785214
"Sim0.5Fold15",51,0.0203698637902155,-3.8936987355495,8.55130040268503,0.5,3.56516521785214
"Sim0.5Fold16",64,0.00504920095193742,-5.28852527555326,15.2307442962001,0.5,3.56516521785214
"Sim0.5Fold17",69.5,0.0428625104514076,-3.14975771735743,5.90690754545828,0.5,3.56516521785214
"Sim0.5Fold18",91.1666666666667,0.0255121215206436,-3.66860158601183,7.69240262602852,0.5,3.56516521785214
"Sim0.5Fold19",126,0.00515295335693161,-5.2681852613107,15.1141515139536,0.5,3.56516521785214
"Sim0.5Fold20",91.6666666666667,0.00145872382332384,-6.53019331911828,23.6960767369984,0.5,3.56516521785214
"Sim0.5Fold21",101.333333333333,0.065379168920107,-2.72755158929781,4.63710164592303,0.5,3.56516521785214
"Sim0.5Fold22",100.833333333333,0.19613225685286,-1.62896606745166,2.00979334769293,0.5,3.56516521785214
"Sim0.5Fold23",143.333333333333,0.00466751460350068,-5.36712855379042,15.6873450878632,0.5,3.56516521785214
"Sim0.5Fold24",140.333333333333,3.27104565692312e-05,-10.3278157584181,76.1861955814693,0.5,3.56516521785214
"Sim0.5Fold25",157,0.486017750840713,-0.721510131385034,0.536345193039331,0.5,3.56516521785214
"Sim0.5Fold26",173.5,0.00211809922006396,-6.15723618678876,20.8525737381012,0.5,3.56516521785214
"Sim0.5Fold27",201,3.07664567511043e-05,-10.3890855279712,77.5399985250139,0.5,3.56516521785214
"Sim0.5Fold28",209.333333333333,0.00522257266188422,-5.25476515139258,15.0375729364661,0.5,3.56516521785214
"Sim0.5Fold29",271.333333333333,8.96652777718591e-06,-11.6220120496777,110.011566909194,0.5,3.56516521785214
"Sim0.5Fold30",240,0.00209646773809872,-6.16750137992942,20.9271144181352,0.5,3.56516521785214
"Sim0.5Fold31",286.5,0.0062731678732765,-5.07147380898274,14.0188516169719,0.5,3.56516521785214
"Sim0.5Fold32",245.333333333333,0.0173049240092308,-4.05676419316533,9.20771443733847,0.5,3.56516521785214
"Sim0.5Fold33",350.833333333333,0.00208965909238504,-6.17075434000127,20.950778391365,0.5,3.56516521785214
"Sim0.5Fold34",331.166666666667,0.0010924330249815,-6.81934793723847,26.1033880203183,0.5,3.56516521785214
"Sim0.5Fold35",373.166666666667,0.00115925137989024,-6.75998084436325,25.5939178938037,0.5,3.56516521785214
"Sim0.5Fold36",457.833333333333,0.00025845221320705,-8.26079974297313,41.293228182299,0.5,3.56516521785214
"Sim0.5Fold37",472.333333333333,0.00624855650544337,-5.07540480103805,14.0401769120585,0.5,3.56516521785214
"Sim0.5Fold38",486.5,0.00315955250951957,-5.75732487232262,18.1020007294865,0.5,3.56516521785214
"Sim0.5Fold39",536.5,0.0188654452463396,-3.97042332413011,8.85648423860304,0.5,3.56516521785214
"Sim0.5Fold40",601.833333333333,0.0165039964548008,-4.10415271802169,9.40405838923036,0.5,3.56516521785214
"Sim0.5Fold41",733.666666666667,0.00139675360525254,-6.57360458845596,24.0457813614599,0.5,3.56516521785214
"Sim0.5Fold42",818.5,0.00131524596811073,-6.63373158285075,24.5368637274062,0.5,3.56516521785214
"Sim0.5Fold43",1003.33333333333,0.00291670010338524,-5.83730240332864,18.6288345570964,0.5,3.56516521785214
"Sim0.5Fold44",1014.5,0.000128657780357518,-8.95835454413149,51.0084900205079,0.5,3.56516521785214
"Sim0.5Fold45",1175.33333333333,0.00176542939370855,-6.33936133563086,22.2058545677313,0.5,3.56516521785214
"Sim0.5Fold46",1717.83333333333,0.00160256570162287,-6.43614937055725,22.9522144726337,0.5,3.56516521785214
"Sim0.5Fold47",1604.16666666667,0.000298798147985736,-8.11574230289839,39.4887637004017,0.5,3.56516521785214
"Sim0.5Fold48",3728.5,0.0368287114072304,-3.30147753672262,6.40225507536767,0.5,3.56516521785214
"Sim0.5Fold49",4876.5,0.00734527584956562,-4.91369791396,13.1813082189204,0.5,3.56516521785214
"Sim4Fold1",0.5,0.587463309090652,-0.531941487525725,0.320917739388493,4,3.56516521785214
"Sim4Fold2",2.16666666666667,0.132166577621294,-2.02369220031105,2.84746673620492,4,3.56516521785214
"Sim4Fold3",3.83333333333333,0.24760767271762,-1.3959097502931,1.56955750843406,4,3.56516521785214
