"Feature","pvals","qvals","log.pvals","F.stat","den.df"
"ERCC-00002",0.000226070086290575,0.0481826143508196,-8.39466549043814,41.6811466877717,3.74962778622618
"ERCC-00003",0.000128355374861689,0.0392507015881396,-8.96070777492331,49.3157738247079,3.74962778622618
"ERCC-00004",9.26336064134352e-07,0.00325761515887247,-13.8920287479084,193.806276807629,3.74962778622618
"ERCC-00009",0.828141075909671,0.565549299339549,-0.188571757576743,0.0504198932371657,3.74962778622618
"ERCC-00013",0.958107122109581,0.602511454946336,-0.042795688776505,0.00294323697296706,3.74962778622618
"ERCC-00019",0.00137344418734497,0.0956424830131318,-6.5904336886059,23.629041743523,3.74962778622618
"ERCC-00022",0.000578234978362022,0.0737459908170817,-7.45553023494714,31.2394243157685,3.74962778622618
"ERCC-00025",0.757949771230946,0.544937768417054,-0.277138160402205,0.101940145627824,3.74962778622618
"ERCC-00028",0.0185305975430851,0.153929601477357,-3.98833199187155,8.81888073553293,3.74962778622618
"ERCC-00031",0.337239048223275,0.380178616620257,-1.08696325818501,1.04624365421524,3.74962778622618
"ERCC-00034",0.796355404857394,0.556267604853284,-0.227709704269777,0.0713472149597517,3.74962778622618
"ERCC-00035",0.601302080840853,0.49267916688964,-0.508657840372416,0.296657183657678,3.74962778622618
"ERCC-00039",0.57890742682501,0.484827866320198,-0.546612698777519,0.33545202180945,3.74962778622618
"ERCC-00042",0.669078182160324,0.516439759603986,-0.401854361466268,0.197264122754214,3.74962778622618
"ERCC-00043",4.5260698459862e-05,0.019895848697981,-10.0030714857113,66.6604827963938,3.74962778622618
"ERCC-00044",0.0103001451638181,0.140690164675313,-4.57559729027129,11.3352253102056,3.74962778622618
"ERCC-00046",0.000123859336404855,0.0392507015881396,-8.99636402009139,49.8351404999953,3.74962778622618
"ERCC-00051",0.84996407350932,0.570808808397678,-0.162561196850651,0.0382542596093142,3.74962778622618
"ERCC-00053",0.769314429771654,0.547767242632851,-0.26225551167814,0.0922630615798199,3.74962778622618
"ERCC-00054",0.0659468098265175,0.209118979161335,-2.71890677359658,4.57645768056339,3.74962778622618
"ERCC-00058",0.920414979547712,0.592294953627395,-0.0829306459123894,0.0106528460418797,3.74962778622618
"ERCC-00059",0.00969386815136452,0.139954166399717,-4.63626174270731,11.6182918986596,3.74962778622618
"ERCC-00060",0.504390846253429,0.453864290974231,-0.684403822848613,0.490007942441155,3.74962778622618
"ERCC-00062",2.18685304160025e-05,0.0153004488421187,-10.7304619218753,81.8493527358474,3.74962778622618
"ERCC-00067",0.6419893882948,0.507112013066048,-0.443183504564608,0.233937273542649,3.74962778622618
"ERCC-00069",0.413357885552739,0.416277748432741,-0.883441510284486,0.747067989272918,3.74962778622618
"ERCC-00071",0.0534266523475908,0.196130938677641,-2.92944554989599,5.1801918863372,3.74962778622618
"ERCC-00074",0.00485553474673258,0.126735567251267,-5.32763603979594,15.185876278524,3.74962778622618
"ERCC-00076",0.00229362817415764,0.118565899219507,-6.07762035965575,19.8622846376285,3.74962778622618
"ERCC-00077",0.033943940609764,0.175414437145731,-3.38304492073707,6.61000609845775,3.74962778622618
"ERCC-00078",0.00136886846060178,0.0956424830131318,-6.59377082158602,23.6552366738676,3.74962778622618
"ERCC-00079",0.000223733233662972,0.0481826143508196,-8.4050561369668,41.8114593304651,3.74962778622618
"ERCC-00084",0.680390170542675,0.519591400413379,-0.385088865151093,0.183068965315181,3.74962778622618
"ERCC-00085",0.46867118433058,0.438223964786636,-0.757853855929411,0.580488017683498,3.74962778622618
"ERCC-00092",4.06441965560521e-05,0.019895848697981,-10.1106544983113,68.7311639203548,3.74962778622618
"ERCC-00095",0.0108477947822153,0.142343575811407,-4.52379346553168,11.0970820008843,3.74962778622618
"ERCC-00096",0.987513267782168,0.608016717591561,-0.0125653465683411,0.000261218681259237,3.74962778622618
"ERCC-00099",0.0546221330646883,0.196846942292694,-2.90731611088535,5.11500425257815,3.74962778622618
"ERCC-00108",9.23575992868687e-06,0.00927973973787109,-11.5924276598061,103.961559747755,3.74962778622618
"ERCC-00109",0.96155623158797,0.603134352582008,-0.039202232472561,0.00247811107094956,3.74962778622618
"ERCC-00111",0.00881858675876642,0.13665945405129,-4.73089365323424,12.0690356831532,3.74962778622618
"ERCC-00112",0.00107427339784717,0.0895254166436407,-6.83611075491135,25.6195126629242,3.74962778622618
"ERCC-00113",0.00723656446811747,0.131137694828247,-4.92860870618347,13.0479583384388,3.74962778622618
"ERCC-00116",2.35201696769309e-05,0.0153004488421187,-10.6576522208046,80.1972912498948,3.74962778622618
"ERCC-00126",0.292534310160915,0.356707925589188,-1.22917331949386,1.27519309014355,3.74962778622618
"ERCC-00130",4.68108398466894e-06,0.00658472480510098,-12.2719808541989,125.216082671438,3.74962778622618
"ERCC-00131",2.7274049440033e-06,0.00606038866234802,-12.8121599708077,144.982841911512,3.74962778622618
"ERCC-00136",6.21321155369912e-06,0.00728326465461397,-11.9888326372936,115.904918979199,3.74962778622618
"ERCC-00143",0.983067809458077,0.607525137790043,-0.0170771790594229,0.000480362111489164,3.74962778622618
"ERCC-00144",0.00615848432542628,0.127022501726779,-5.0899245827794,13.8853445789726,3.74962778622618
"ERCC-00145",0.00277173146294763,0.118875223122487,-5.88828307718567,18.5939029692274,3.74962778622618
"ERCC-00148",0.715407140220059,0.531442425666922,-0.334903471468895,0.143060419480421,3.74962778622618
"ERCC-00154",0.0338062448539129,0.174831315298422,-3.3871097345675,6.62365376057878,3.74962778622618
"ERCC-00157",0.017922289768903,0.1536201434539,-4.02171010231564,8.95155028118814,3.74962778622618
