"Feature","pvals","qvals","log.pvals","F.stat","den.df"
"ERCC-00002",0.000406239769393392,0.0897789890359397,-7.80856700766907,36.3858693062491,3.48056721500935
"ERCC-00003",7.32588446431047e-05,0.0306630258430426,-9.52151157137535,61.3547962733267,3.48056721500935
"ERCC-00004",9.98258201714962e-07,0.00397107112642212,-13.8172538749437,207.795279352047,3.48056721500935
"ERCC-00009",0.850813432439399,0.650308550412338,-0.161562407770107,0.0379067710107391,3.48056721500935
"ERCC-00013",0.933323519744255,0.671867443305482,-0.0690033861019565,0.007485764686494,3.48056721500935
"ERCC-00019",0.00200595397238901,0.182716005020853,-6.21163553467621,21.4686204246307,3.48056721500935
"ERCC-00022",0.000661784409240246,0.119099836448849,-7.32057072086812,31.1318959349617,3.48056721500935
"ERCC-00025",0.322778101020194,0.445064570488157,-1.13079018559335,1.12056082200017,3.48056721500935
"ERCC-00028",0.0454230663727931,0.264751586858565,-3.09173523307333,5.74804803995301,3.48056721500935
"ERCC-00031",0.657114938183118,0.591403444364806,-0.41989633183631,0.213584100688989,3.48056721500935
"ERCC-00034",0.499141494262228,0.530373330940939,-0.694865667789193,0.504324316458094,3.48056721500935
"ERCC-00035",0.888605406101101,0.660291828798017,-0.118102004657848,0.021000506884635,3.48056721500935
"ERCC-00039",0.664488333875039,0.594408498348304,-0.408737957228188,0.20377560077679,3.48056721500935
"ERCC-00042",0.857846233000103,0.652550399631783,-0.153330411172808,0.0343715184147905,3.48056721500935
"ERCC-00043",7.79542971256366e-05,0.0306630258430426,-9.45938783728797,60.235074685813,3.48056721500935
"ERCC-00044",0.00292724252992096,0.1893426143744,-5.83369441514886,18.7815322424081,3.48056721500935
"ERCC-00046",8.72779841629601e-05,0.0306630258430426,-9.34641231291424,58.2459084029872,3.48056721500935
"ERCC-00051",0.486739038055411,0.524941817374115,-0.720027155670817,0.535126387937947,3.48056721500935
"ERCC-00053",0.885862783191635,0.659670938138586,-0.121193212615204,0.0220560878991928,3.48056721500935
"ERCC-00054",0.0645756446823975,0.282323609808197,-2.73991795658282,4.68984934232611,3.48056721500935
"ERCC-00058",0.722867203291752,0.612917142269344,-0.324529748255503,0.13562967119454,3.48056721500935
"ERCC-00059",0.0286127862823288,0.253554882493082,-3.5539015882549,7.31240665581623,3.48056721500935
"ERCC-00060",0.479803190466654,0.522419782877586,-0.734379279022466,0.552980820791062,3.48056721500935
"ERCC-00062",1.93644871053123e-05,0.0176853895310244,-10.8520697310022,90.4015291854625,3.48056721500935
"ERCC-00067",0.397417465703973,0.484399215638533,-0.922767999895684,0.805503843753679,3.48056721500935
"ERCC-00069",0.498024895208734,0.529958413763467,-0.697105212827978,0.507039858495309,3.48056721500935
"ERCC-00071",0.027868331894531,0.252396220877174,-3.58026429236419,7.40799304992486,3.48056721500935
"ERCC-00074",0.00422041273883204,0.201027630900418,-5.46782235030642,16.4289898437161,3.48056721500935
"ERCC-00076",0.00127875680411139,0.1667834284182,-6.66186691980437,25.0482881454742,3.48056721500935
"ERCC-00077",0.101934028943934,0.313992044384237,-2.28342945000655,3.47331073438896,3.48056721500935
"ERCC-00078",0.00185050345354665,0.177380788872496,-6.29229753986223,22.078445798518,3.48056721500935
"ERCC-00079",8.66080129628597e-05,0.0306630258430426,-9.35411821823689,58.3796834428474,3.48056721500935
"ERCC-00084",0.722369642183977,0.612715319085223,-0.325218301317224,0.136142706420946,3.48056721500935
"ERCC-00085",0.12804219204373,0.331601332463741,-2.05539544403538,2.92787481278616,3.48056721500935
"ERCC-00092",5.22262443135508e-05,0.0233755833722657,-9.85992542479206,67.7923677899782,3.48056721500935
"ERCC-00095",0.00378276475423537,0.197967626007594,-5.57730012024092,17.108674152114,3.48056721500935
"ERCC-00096",0.715792753724074,0.611008083835324,-0.334364604026301,0.143029425772038,3.48056721500935
"ERCC-00099",0.0780814811872026,0.294911160325027,-2.55000236693425,4.16298445621061,3.48056721500935
"ERCC-00108",1.65095608138316e-05,0.0176853895310244,-11.0115709016076,94.6295119746766,3.48056721500935
"ERCC-00109",0.98935668523219,0.683098069655745,-0.0107003599701873,0.000190216589464595,3.48056721500935
"ERCC-00111",0.0357031136576801,0.25490374948367,-3.33251737669779,6.53726441245115,3.48056721500935
"ERCC-00112",0.00198545666378314,0.182716005020853,-6.22190633398063,21.5455357325885,3.48056721500935
"ERCC-00113",0.0152571342526924,0.235463673646454,-4.18270806547362,9.79620740941005,3.48056721500935
"ERCC-00116",8.86437398680215e-05,0.0306630258430426,-9.33088514420348,57.9771924455165,3.48056721500935
"ERCC-00126",0.201188458648469,0.379392125386874,-1.60351320498401,1.96396042916753,3.48056721500935
"ERCC-00130",1.36614805261975e-05,0.0176853895310244,-11.2009303256393,99.8888707651571,3.48056721500935
"ERCC-00131",9.30006065607472e-06,0.0147982565159461,-11.5854896356678,111.425726192564,3.48056721500935
"ERCC-00136",2.00060967545525e-05,0.0176853895310244,-10.8194734931362,89.5594611741402,3.48056721500935
"ERCC-00143",0.896933216171639,0.662335313519729,-0.108773872123557,0.0179573316212051,3.48056721500935
"ERCC-00144",0.0113218282485209,0.227120046787401,-4.48102271319471,11.1349272496658,3.48056721500935
"ERCC-00145",0.0072831971360322,0.222491247466421,-4.92218534614177,13.3268288491102,3.48056721500935
"ERCC-00148",0.551316770078827,0.552636540600624,-0.595445734696554,0.389094015606772,3.48056721500935
"ERCC-00154",0.0660867856804688,0.283031689550789,-2.71678646617248,4.62405548633563,3.48056721500935
"ERCC-00157",0.111834488887077,0.320493379027385,-2.19073527847153,3.24672671482226,3.48056721500935
