"Feature","NIT_1","NIT_2","NIT_3","CTL_1","CTL_2","CTL_3"
"ERCC-00002",22962,33296,21958,47850,36033,40933
"ERCC-00003",1971,2666,1874,3965,2833,3319
"ERCC-00004",6638,9216,6264,1657,1210,1393
"ERCC-00009",1026,1383,920,1091,853,905
"ERCC-00013",1,0,0,5,5,4
"ERCC-00019",27,48,16,9,9,10
"ERCC-00022",192,288,185,448,317,375
"ERCC-00025",57,103,57,93,55,53
"ERCC-00028",5,3,2,3,0,0
"ERCC-00031",2,3,2,3,2,3
"ERCC-00034",23,34,27,20,25,17
"ERCC-00035",97,136,93,112,70,93
"ERCC-00039",8,5,0,2,8,3
"ERCC-00040",4,2,4,0,0,4
"ERCC-00042",755,1109,761,828,596,702
"ERCC-00043",997,1437,965,2119,1476,1701
"ERCC-00044",38,41,26,36,28,41
"ERCC-00046",4565,6315,4317,10415,7303,8261
"ERCC-00051",16,26,22,12,12,17
"ERCC-00053",37,56,46,41,35,36
"ERCC-00054",8,11,11,11,9,11
"ERCC-00058",2,4,1,8,2,3
"ERCC-00059",14,14,25,26,27,27
"ERCC-00060",455,629,427,524,334,431
"ERCC-00062",114,145,84,31,31,30
"ERCC-00067",1,2,0,0,1,3
"ERCC-00069",3,7,2,5,4,6
"ERCC-00071",48,66,66,86,57,76
"ERCC-00074",17320,24515,16333,25169,17621,21199
"ERCC-00076",232,306,222,347,251,310
"ERCC-00077",1,2,3,3,5,1
"ERCC-00078",49,79,48,118,82,77
"ERCC-00079",78,126,79,174,129,153
"ERCC-00084",30,42,29,65,50,52
"ERCC-00085",4,7,15,2,4,3
"ERCC-00092",364,533,363,86,76,75
"ERCC-00095",59,66,46,8,4,7
"ERCC-00096",12345,17339,11951,12968,9558,10645
"ERCC-00099",14,41,17,57,41,54
"ERCC-00108",1451,2217,1410,429,322,342
"ERCC-00111",623,962,639,911,724,777
"ERCC-00112",64,85,77,132,88,109
"ERCC-00113",4570,6282,4384,7007,5273,5894
"ERCC-00116",153,236,164,43,33,25
"ERCC-00126",0,2,0,5,1,0
"ERCC-00130",27431,36404,25642,6237,4598,5115
"ERCC-00131",138,170,150,43,18,39
"ERCC-00136",1011,1316,1041,196,130,158
"ERCC-00137",0,2,2,2,1,1
"ERCC-00143",8,5,5,9,4,8
"ERCC-00144",21,35,24,2,6,3
"ERCC-00145",899,1382,885,1541,1129,1271
"ERCC-00147",3,2,1,2,0,2
"ERCC-00148",14,24,10,18,9,15
"ERCC-00150",2,3,0,4,1,0
"ERCC-00154",6,11,3,0,2,0
"ERCC-00157",16,19,13,15,18,10
"ERCC-00160",18,28,18,46,30,37
"ERCC-00162",67,92,68,98,85,80
"ERCC-00163",17,23,24,38,25,36
"ERCC-00165",80,104,53,109,105,90
"ERCC-00168",0,4,0,0,3,1
"ERCC-00170",21,27,22,5,3,3
"ERCC-00171",4475,6389,4328,5340,3750,4215
"A1BG",5,8,20,9,12,22
"A1CF",181,324,302,760,554,498
"A1I3",54504,85000,60811,208798,213073,121447
"A2LD1",222,205,188,198,263,170
"A2M",3827,4859,2584,529,1323,1052
"A3GALT2",87,48,66,10,6,5
"AA926063",5,4,3,0,0,0
"AAAS",111,87,120,82,93,71
"AACS",47,34,45,168,246,91
"AADAC",586,688,696,903,860,766
"AADACL1",162,128,143,111,85,141
"AADAT",1290,1772,1618,2998,2546,1881
"AAGAB",97,57,93,74,85,66
"AAK1",82,64,64,77,68,56
"AAMP",1195,1205,1141,1668,1470,1136
"AARS",2736,2743,2523,4783,3312,2863
"AARS2",112,110,106,183,165,128
"AARSD1",196,162,187,168,178,140
"AASDHPPT",301,321,282,427,343,264
"AASS",3253,3135,3113,3576,2042,3331
"AATF",109,140,100,158,110,95
"AATK",16,24,28,38,25,16
"ABAT",662,1173,778,1779,1823,1447
"ABCA1",1304,1696,1540,1420,1291,1215
"ABCA13",5,2,0,2,1,0
"ABCA17",4,6,3,9,3,1
"ABCA2",551,457,518,938,818,622
"ABCA4",10,6,7,7,6,7
"ABCA5",33,47,42,49,26,21
"ABCA7",98,78,65,38,39,28
"ABCB10",290,220,268,266,247,197
"ABCB11",1704,1674,1666,3100,2006,1402
"ABCB1A",477,431,420,164,297,141
"ABCB1B",6041,5493,5310,17,100,37
"ABCB4",1973,1426,1571,1865,1028,1096
"ABCB6",505,508,489,867,748,553
"ABCB7",159,211,204,323,299,230
"ABCB8",204,210,197,190,232,133
"ABCB9",13,8,16,16,15,9
"ABCC1",104,63,113,38,40,24
"ABCC10",87,64,80,143,149,129
"ABCC2",3241,3384,2840,5054,9171,3021
"ABCC3",217,143,298,86,67,70
"ABCC4",181,124,174,111,160,92
"ABCC5",363,266,273,169,143,136
"ABCC6",2654,3044,2931,6322,6943,5378
"ABCC8",45,42,44,72,82,50
"ABCC9",405,339,416,201,288,122
"ABCD1",363,396,377,665,701,452
"ABCD2",32,7,10,9,12,7
"ABCD3",1426,1445,1709,2322,2083,1516
"ABCD4",75,59,71,74,58,41
"ABCE1",1067,1019,1069,993,901,859
"ABCF1",881,919,871,849,653,616
"ABCF2",333,357,331,401,355,325
"ABCF3",513,494,495,750,589,550
"ABCG1",547,406,457,163,186,100
"ABCG2",198,217,120,192,151,52
"ABCG3",779,1344,952,1372,871,992
"ABCG3L1",47,39,31,31,23,16
"ABCG3L3",114,85,80,56,34,56
"ABCG3L4",61,43,56,30,21,20
"ABCG4",9,3,7,1,1,0
"ABCG5",217,148,95,379,495,515
"ABCG8",61,56,43,275,253,453
"ABHD1",168,205,200,274,347,245
"ABHD10",52,46,37,40,32,31
"ABHD12",295,264,292,255,262,167
"ABHD13",319,306,327,362,307,365
"ABHD14A",32,42,32,80,79,53
"ABHD14B",1158,1440,1349,3636,3092,2544
"ABHD15",89,77,96,189,147,159
"ABHD16A",405,369,428,290,376,205
"ABHD2",1275,1839,1062,2719,2479,1512
"ABHD3",75,0,2,6,3,0
"ABHD4",806,676,717,726,628,422
"ABHD5",156,186,184,494,553,124
"ABHD6",357,303,335,406,436,303
"ABHD8",35,29,28,25,32,16
"ABI1",171,155,161,179,170,123
"ABI2",125,91,121,67,56,52
"ABI3",193,178,186,123,96,53
"ABL1",487,466,500,485,709,459
"ABL2",43,47,50,27,24,10
"ABLIM2",9,7,4,12,20,3
"ABLIM3",352,286,384,217,64,159
"ABO",2,0,1,1,17,1
"ABO2",5,8,6,6,6,3
"ABP1",28,15,23,3,0,0
"ABR",386,260,342,104,103,46
"ABT1",94,106,86,148,100,107
"ABTB1",226,218,240,414,395,277
"ABTB2",264,367,344,831,549,444
"ACAA1A",461,659,498,953,978,816
"ACAA2",3580,3676,3372,5321,4864,3646
"ACACA",1235,1688,1809,1556,1786,1632
"ACACB",257,356,450,1113,1261,659
"ACAD10",82,154,150,215,202,138
"ACAD11",1748,2513,2255,2755,2287,1831
"ACAD9",660,802,672,753,708,560
"ACADL",3390,3234,3154,4169,3717,3214
"ACADM",3510,4594,3611,6893,6187,4531
"ACADS",917,1078,949,1638,1584,1243
"ACADSB",470,434,532,1128,740,796
"ACADVL",2502,2614,2306,3316,3200,2565
"ACAP1",71,53,69,33,28,13
"ACAP2",343,333,419,296,244,172
"ACAP3",202,180,170,254,268,230
"ACAT1",2075,2182,1639,2591,2871,2127
"ACAT3",115,142,279,592,553,489
"ACBD3",522,472,505,541,456,326
"ACBD4",125,161,157,283,255,212
"ACBD5",343,405,353,693,535,396
"ACBD6",135,135,112,152,143,113
"ACCN1",3,8,3,8,16,1
"ACCN2",6,7,2,3,2,1
"ACCN5",2,4,3,2,2,0
"ACD",124,116,121,195,170,143
"ACE",60,51,49,6,13,10
"ACE2",10,10,6,12,6,3
"ACER2",874,727,784,321,307,251
"ACIN1",1000,807,910,1134,1130,819
"ACLY",1178,1685,2284,5247,9885,3330
"ACMSD",78,63,73,132,54,88
"ACN9",10,10,3,14,4,8
"ACNAT2",1836,1902,1129,3505,1736,2012
"ACO1",1349,1258,1600,2014,1711,1498
"ACO2",1738,1549,1489,1395,1220,1238
"ACOT1",13,1,32,0,0,0
"ACOT12",654,715,674,1087,994,664
"ACOT13",47,75,50,100,87,87
"ACOT2",339,262,262,268,199,166
"ACOT3",71,50,61,117,85,71
"ACOT4",139,132,166,254,86,106
"ACOT5",264,302,444,508,90,137
"ACOT7",257,212,240,240,199,180
"ACOT8",92,135,113,127,131,123
"ACOT9",173,165,160,52,40,15
"ACOX1",2547,2349,2516,4628,3855,2908
"ACOX2",2358,3705,3330,5977,6222,5301
"ACOX3",1742,2135,1665,3827,4024,2786
"ACP1",111,78,56,67,82,82
"ACP2",918,866,962,1185,1231,783
"ACP6",208,239,203,244,256,212
"ACPL2",146,195,155,292,298,209
"ACPP",82,94,75,135,113,55
"ACPT",13,6,7,0,4,2
"ACR",1,2,4,0,0,0
"ACRBP",21,10,14,14,21,12
"ACSBG1",56,60,36,42,24,27
"ACSF2",1549,1511,1613,966,1231,1459
"ACSL1",7855,11173,12371,36283,33270,21398
"ACSL3",250,255,240,276,268,194
"ACSL4",3811,4730,4904,6173,4096,4884
"ACSL5",2041,2420,3272,3253,3248,2413
"ACSM2A",513,722,710,1005,614,381
"ACSM3",223,189,302,625,398,223
"ACSM5",550,1111,861,1390,803,342
"ACSS1",81,51,68,29,25,21
"ACSS2",278,449,442,1279,1369,1025
"ACSS3",531,790,593,971,1112,653
"ACTA1",4,3,3,1,66,19
"ACTB",14340,13063,12700,5678,5736,3510
"ACTG2",101,57,102,16,29,9
"ACTL6A",153,141,177,132,134,103
"ACTL7A",4,3,1,4,4,1
"ACTL7B",1,2,2,2,5,3
"ACTN1",1016,824,915,464,455,275
"ACTN2",13,15,17,9,13,7
"ACTN3",3,1,7,2,13,4
"ACTN4",2799,2770,2907,3304,2993,2107
"ACTR10",385,310,323,450,340,253
"ACTR1A",706,630,627,670,572,448
"ACTR1B",919,858,836,986,942,828
"ACTR2",1183,1012,1188,770,671,504
"ACTR3",2127,1757,1794,1034,904,587
"ACTR3B",3,7,9,13,8,8
"ACTR5",62,57,60,55,70,41
"ACTR6",81,55,67,73,53,46
"ACVR1",95,83,100,101,232,111
"ACVR1B",162,159,140,113,114,78
"ACVR1C",10,21,15,46,23,25
"ACVR2A",125,167,140,279,270,175
"ACVR2B",7,11,9,11,19,13
"ACVRL1",171,125,119,91,96,52
"ACY1",473,531,486,605,576,470
"ACY3",199,237,174,652,474,305
"ACYP1",27,18,29,34,37,26
"ACYP2",22,30,19,40,22,38
"ADA",84,74,108,31,36,11
"ADAM11",18,27,9,162,244,157
"ADAM15",220,194,220,211,179,120
"ADAM17",605,551,560,473,426,285
"ADAM19",380,246,350,73,102,53
"ADAM1A",16,28,29,28,24,25
"ADAM23",131,171,124,167,178,75
"ADAM4",1,3,2,2,3,6
"ADAM4L1",7,4,9,5,2,7
"ADAM9",731,562,542,491,511,358
"ADAMDEC1",16,15,9,20,5,19
"ADAMTS1",625,472,425,359,638,127
"ADAMTS12",273,210,259,231,296,183
"ADAMTS14",41,33,44,10,18,6
"ADAMTS15",40,9,20,17,19,13
"ADAMTS19",8,4,13,7,6,0
"ADAMTS2",421,315,532,88,222,97
"ADAMTS3",12,7,9,6,1,6
"ADAMTS4",117,115,33,11,5,3
"ADAMTS5",13,15,14,10,7,2
"ADAMTS7",130,162,95,334,565,253
"ADAMTS9",280,253,230,106,193,87
"ADAMTSL3",32,26,30,47,56,27
"ADAMTSL4",608,362,540,553,484,488
"ADAMTSL5",7,3,6,7,6,2
"ADAP1",52,46,47,7,5,1
"ADAP2",355,306,315,440,458,270
"ADAR",538,542,530,633,544,347
"ADARB1",377,294,362,199,192,136
"ADAT1",19,24,36,60,38,36
"ADAT3",50,32,25,33,33,34
"ADCK1",42,44,33,60,53,40
"ADCK2",153,168,158,261,237,191
"ADCK3",1656,2695,2363,7242,4678,3260
"ADCK4",172,188,178,167,160,108
"ADCK5",288,296,317,557,403,381
"ADCY1",75,71,59,21,20,19
"ADCY10",42,43,30,21,40,16
"ADCY2",17,6,7,2,5,3
"ADCY3",55,52,56,39,54,30
"ADCY4",244,234,195,79,101,65
"ADCY5",112,101,93,123,158,81
"ADCY6",762,678,673,1234,1187,810
"ADCY7",108,86,80,40,20,15
"ADCYAP1R1",30,21,34,17,24,21
"ADD1",1450,1316,1364,1298,1467,962
"ADD2",32,9,22,9,23,14
"ADD3",401,371,422,255,329,188
"ADH1",7297,16802,9748,10573,9146,21889
"ADH4",526,326,434,1918,1058,420
"ADH5",701,910,765,1559,1205,1213
"ADH6",619,598,717,4502,1242,2113
"ADH7",77,213,69,82,65,192
"ADHFE1",896,1219,1003,2668,2226,1717
"ADI1",934,1103,1007,1836,1707,1333
"ADIPOR1",1157,1130,1058,1350,1172,863
"ADIPOR2",600,734,663,1363,1352,643
"ADK",1925,2364,1976,3491,3505,3340
"ADM",100,55,85,19,38,16
"ADM2",16,16,21,3,8,5
"ADNP",824,872,862,1105,1238,876
"ADNP2",150,143,180,133,179,105
"ADO",50,58,60,62,51,43
"ADORA1",26,29,38,52,37,40
"ADORA2A",212,193,124,109,97,56
"ADORA2B",28,30,7,6,18,5
"ADORA3",22,25,15,48,26,20
"ADPGK",340,288,307,327,231,264
"ADPRH",183,128,144,89,112,61
"ADPRHL2",282,252,267,297,239,143
"ADRA1B",125,187,171,448,549,457
"ADRA2B",117,114,141,126,141,93
"ADRB1",13,5,16,8,7,3
"ADRB2",79,68,89,28,22,12
"ADRBK1",588,512,521,478,448,281
"ADRBK2",42,31,43,12,8,8
"ADRM1",671,657,604,998,736,702
"ADSL",350,340,369,364,337,271
"ADSS",976,980,943,1114,929,754
"AEBP1",560,198,356,134,136,85
"AEBP2",117,145,165,176,143,95
"AEN",455,550,427,220,195,135
"AER61",87,73,88,52,55,45
"AES",1524,1494,1547,1994,2000,1526
"AFAF",1,3,5,0,0,0
"AFAP1",36,15,26,12,17,6
"AFAP1L1",117,130,146,135,140,62
"AFF1",349,315,348,335,368,214
"AFF3",35,8,21,15,22,13
"AFF4",1157,1207,1109,1051,878,577
"AFG3L1",454,443,508,533,480,392
"AFG3L2",783,763,761,761,698,641
"AFM",7913,9551,7688,11336,15903,11670
"AFP",104,96,137,62,98,79
"AGA",362,348,326,386,356,252
"AGAP1",162,187,173,109,128,75
"AGAP2",62,31,47,29,25,19
"AGAP3",210,157,148,209,172,142
"AGER",10,6,3,5,2,4
"AGFG1",554,423,486,291,287,244
"AGFG2",360,285,427,590,383,319
"AGK",123,147,144,104,89,89
"AGL",637,732,797,1236,1280,1020
"AGMAT",740,815,621,1220,1045,797
"AGMO",1923,2319,1742,3927,3945,2474
"AGPAT1",194,129,173,78,97,60
"AGPAT2",476,478,483,688,615,537
"AGPAT3",743,622,695,732,682,703
"AGPAT4",80,70,59,17,27,13
"AGPAT5",148,155,138,96,88,75
"AGPAT6",756,797,731,1350,1328,784
"AGPAT9",38,21,46,1,3,3
"AGPHD1",54,54,43,195,172,118
"AGPS",10,7,4,6,4,2
"AGRN",624,429,459,716,671,425
"AGT",8909,12143,7178,12107,14442,11176
"AGTPBP1",202,151,224,25,41,24
"AGTR1A",822,825,814,1718,1473,1118
"AGTRAP",160,149,187,128,152,82
"AGXT",1148,956,723,1424,984,1103
"AGXT2",1782,2028,988,2417,2809,1269
"AGXT2L2",134,176,177,326,311,256
"AHCY",4540,5147,5161,11223,8578,7723
"AHCYL1",1081,969,997,1220,1138,946
"AHCYL2",126,103,114,207,166,123
"AHDC1",198,156,163,289,295,148
"AHI1",61,58,56,51,32,30
"AHNAK",1065,700,857,317,302,215
"AHR",180,249,443,748,265,327
"AHRR",3,2,3,0,1,0
"AHSA2",290,261,269,369,349,312
"AHSG",100137,117876,117530,159719,206533,150103
"AHSP",45,19,96,9,14,8
"AIF1",932,755,509,264,222,123
"AIF1L",7,3,5,6,3,4
"AIFM1",1175,1348,1125,1389,1428,1169
"AIFM2",389,332,337,344,308,311
"AIFM3",10,9,5,5,10,5
"AIG1",73,50,70,29,22,18
"AIMP1",233,249,218,304,288,176
"AIMP2",142,128,145,109,112,116
"AIP",173,181,163,194,145,113
"AJUBA",300,228,250,178,281,72
"AK1",14,5,13,5,10,2
"AK2",1772,2034,1586,2211,1946,1720
"AK3",550,616,534,987,927,791
"AK4",546,512,441,439,402,301
"AK7",9,9,13,15,13,10
"AKAP1",465,451,431,877,601,643
"AKAP10",182,126,161,166,123,97
"AKAP11",288,359,327,455,287,300
"AKAP12",338,176,232,96,113,42
"AKAP13",1501,1388,1312,813,668,598
"AKAP17A",436,359,362,347,359,284
"AKAP2",712,525,551,363,330,213
"AKAP3",4,1,2,2,0,2
"AKAP5",42,38,43,211,100,82
"AKAP6",21,29,28,23,47,23
"AKAP7",31,34,18,17,29,17
"AKAP8",549,459,548,552,513,423
"AKAP8L",432,424,481,758,946,778
"AKAP9",503,630,565,774,649,533
"AKIP1",50,54,49,50,43,22
"AKIRIN1",438,396,329,339,306,208
"AKIRIN2",319,259,262,236,290,190
"AKNA",302,213,286,77,69,33
"AKNAD1",10,14,18,50,57,37
"AKR1A1",2912,2781,2979,2493,2643,1890
"AKR1B1",329,260,278,108,93,57
"AKR1B10",10,3,7,6,0,2
"AKR1B7",66,4,627,1,2,102
"AKR1B8",67,42,49,5,42,12
"AKR1C1",43,295,110,1664,436,937
"AKR1C12",119,410,116,593,465,362
"AKR1C12L1",10,28,15,55,37,30
"AKR1C13",2315,3403,1852,8283,5349,5409
"AKR1C14",7809,8672,10500,16152,12164,15677
"AKR1C19",80,81,91,63,67,45
"AKR1C2",73,391,170,1165,167,574
"AKR1C3",33,101,47,146,114,87
"AKR1CL1",108,121,82,146,142,84
"AKR1D1",13960,13885,22715,16183,21834,19142
"AKR1E2",345,503,468,912,714,618
"AKR7A2",664,894,728,1644,1880,1274
"AKR7A3",1990,1716,1733,772,1100,450
"AKT1",723,654,654,610,572,539
"AKT1S1",331,318,291,418,389,335
"AKT2",551,565,597,932,739,589
"AKT3",34,34,40,11,21,7
"AKTIP",135,117,123,126,106,80
"ALAD",943,1085,997,1888,1758,1293
"ALAS2",108,33,74,58,93,95
"ALB",911499,1066856,965510,1693525,1918534,1301708
"ALCAM",671,632,730,766,604,698
"ALDH16A1",527,519,485,553,626,441
"ALDH18A1",153,128,151,19,41,14
"ALDH1A1",3657,3410,4438,2490,1519,1094
"ALDH1A2",25,5,19,8,6,6
"ALDH1A3",61,43,46,83,109,42
"ALDH1A7",352,597,302,349,231,239
"ALDH1B1",539,707,366,204,415,316
"ALDH1L2",1016,1152,881,1938,1760,1868
"ALDH2",5693,7222,6107,15847,14008,10555
"ALDH3A2",3501,4590,4061,5535,6728,4293
"ALDH3B1",50,49,46,7,18,6
"ALDH4A1",3446,4672,3666,7604,6720,4747
"ALDH6A1",6098,7700,7544,13586,12436,9785
"ALDH8A1",2129,2220,2325,4275,4311,3094
"ALDH9A1",4079,5368,6693,10938,9924,7389
"ALDOA",3452,2681,2760,749,721,547
"ALDOB",25247,27787,24062,37476,36675,27215
"ALDOC",22,13,12,5,5,4
"ALG1",80,76,62,95,82,80
"ALG10",88,155,141,205,163,142
"ALG11",360,401,362,618,579,443
"ALG12",167,200,220,167,183,146
"ALG13",69,79,72,98,111,86
"ALG14",192,166,180,235,196,168
"ALG2",205,160,176,274,250,182
"ALG3",198,165,207,193,215,157
"ALG5",238,285,239,303,277,223
"ALG6",126,141,116,126,140,92
"ALG8",109,118,127,105,124,92
"ALG9",191,214,213,207,252,173
"ALKBH",172,194,147,128,137,96
"ALKBH2",50,55,57,91,86,60
"ALKBH3",260,234,266,276,266,210
"ALKBH4",30,19,29,26,34,19
"ALKBH5",266,260,265,403,355,271
"ALKBH6",57,51,50,77,50,43
"ALKBH7",48,57,49,69,58,45
"ALKBH8",23,28,32,52,31,27
"ALMS1",131,162,160,141,137,91
"ALOX12",15,8,11,8,12,8
"ALOX15",172,56,105,76,360,227
"ALOX5",36,44,43,3,7,6
"ALOX5AP",110,60,86,30,16,16
"ALOXE3",6,4,8,0,4,2
"ALPK3",2,0,3,1,1,0
"ALPL",935,890,601,79,115,128
"ALS2",425,511,508,958,1046,574
"ALS2CR12",5,7,8,12,27,17
"ALS2CR8",15,37,28,28,23,26
"AMACR",1122,1488,1337,7164,4928,3714
"AMBP",24859,30142,25289,49700,53126,40317
"AMBRA1",346,324,328,471,370,286
"AMD1",679,556,789,992,616,686
"AMDHD1",430,677,411,271,489,585
"AMDHD2",130,113,128,58,75,69
"AMHR2",10,6,8,7,13,11
"AMIGO1",15,12,18,39,15,22
"AMIGO2",139,152,107,78,65,65
"AMIGO3",31,21,31,18,20,17
"AMMECR1L",836,833,796,1386,1906,961
"AMN1",71,66,65,65,50,47
"AMOTL2",453,201,455,334,499,324
"AMPD1",4,3,1,0,2,3
"AMPD2",424,469,425,866,586,463
"AMPD3",39,23,37,19,11,9
"AMPH",9,1,5,6,4,2
"AMT",319,391,321,528,543,449
"AMY1A",3310,4136,3573,7209,6848,5197
"AMZ1",13,12,16,8,3,3
"AMZ2",214,197,192,361,294,252
"ANAPC1",410,400,472,254,326,284
"ANAPC10",41,32,38,30,33,18
"ANAPC11",188,193,212,258,234,173
"ANAPC13",197,170,178,194,171,171
"ANAPC2",531,534,485,473,437,311
"ANAPC4",318,297,301,262,216,163
"ANAPC5",1700,1569,1721,1525,1509,1263
"ANAPC7",153,151,175,167,131,105
"ANG1",790,764,791,3066,2793,1913
"ANGEL1",141,151,146,270,243,190
"ANGEL2",341,284,323,354,318,284
"ANGPT1",26,14,40,6,14,6
"ANGPT2",63,22,25,11,20,9
"ANGPTL1",1,2,1,3,4,1
"ANGPTL2",346,298,286,214,347,176
"ANGPTL3",2997,3207,3206,3977,3248,2973
"ANGPTL4",343,262,387,1344,939,259
"ANGPTL6",64,78,43,196,270,152
"ANK1",21,13,33,3,11,4
"ANK3",64,68,82,77,129,56
"ANKH",1129,1356,1054,1433,1659,1158
"ANKHD1",564,567,650,730,707,475
"ANKIB1",354,339,349,469,345,276
"ANKLE2",278,308,313,449,328,307
"ANKMY2",114,154,123,144,117,72
"ANKRA2",46,56,70,81,82,66
"ANKRD1",24,12,14,6,15,4
"ANKRD12",233,212,231,231,229,132
"ANKRD13A",948,946,906,1023,792,717
"ANKRD13C",97,113,109,168,124,82
"ANKRD13D",31,33,33,6,4,3
"ANKRD16",19,17,18,26,29,15
"ANKRD17",897,846,966,1284,1006,861
"ANKRD22",2,1,3,1,5,2
"ANKRD23",8,6,6,9,5,6
"ANKRD24",34,29,25,50,46,52
"ANKRD29",4,2,2,2,2,2
"ANKRD32",87,74,73,90,84,42
"ANKRD33B",106,146,147,127,33,27
"ANKRD34A",1,3,1,2,0,3
"ANKRD37",34,31,37,19,14,13
"ANKRD39",22,27,21,11,17,12
"ANKRD40",459,400,466,383,369,327
"ANKRD42",42,28,33,55,50,42
"ANKRD44",430,320,413,220,214,141
"ANKRD46",260,289,274,732,691,538
"ANKRD49",198,191,188,164,165,126
"ANKRD5",10,8,19,1,2,3
"ANKRD50",163,149,173,162,240,91
"ANKRD52",218,184,206,279,239,160
"ANKRD54",32,26,45,55,59,53
"ANKRD57",290,254,235,118,101,81
"ANKRD6",3,2,0,0,5,0
"ANKRD61",9,10,10,17,11,10
"ANKRD9",69,62,64,76,65,86
"ANKS1A",308,273,284,283,212,175
"ANKS3",48,46,52,81,95,48
"ANKS6",19,7,13,6,16,6
"ANKZF1",305,222,282,390,372,352
"ANO1",38,14,18,19,30,19
"ANO4",4,1,2,1,0,0
"ANO6",627,479,530,286,307,201
"ANP32A",757,811,798,891,918,574
"ANP32B",886,712,943,714,600,441
"ANP32E",366,297,327,302,228,189
"ANPEP",1889,2286,1597,2652,2280,1287
"ANTXR1",113,87,126,62,86,42
"ANUBL1",54,43,48,68,48,33
"ANXA1",461,202,314,70,84,51
"ANXA11",930,994,1051,984,827,636
"ANXA13",54,48,49,15,42,20
"ANXA2",1229,805,986,172,198,101
"ANXA3",1202,1030,929,435,333,181
"ANXA4",719,654,666,380,450,330
"ANXA5",517,395,451,190,262,139
"ANXA6",2041,1931,1940,2378,1764,1321
"ANXA7",522,438,392,168,212,107
"ANXA8",13,10,9,0,1,0
"AOAH",42,20,31,11,3,2
"AOC2-PS1",12,15,34,39,27,25
"AOC3",220,47,184,103,125,85
"AOX1",4973,3936,3758,2219,6534,4401
"AOX3",24,178,136,2443,3291,1557
"AOX3L1",4,9,7,10,12,1
"AOX4",3,1,1,1,3,2
"AP1AR",458,455,377,431,417,265
"AP1B1",1057,983,981,1000,965,620
"AP1G1",565,596,640,902,727,527
"AP1M1",483,548,533,577,559,364
"AP1S1",450,432,465,440,450,313
"AP1S2",168,149,194,59,37,28
"AP1S3",35,60,32,32,33,32
"AP2A1",671,581,705,645,641,475
"AP2A2",1274,1177,1171,1352,1209,953
"AP2B1",641,515,676,587,461,366
"AP2M1",1860,1625,1583,1442,1383,1026
"AP2S1",500,493,461,467,460,403
"AP3B1",598,618,630,727,477,397
"AP3D1",1493,1353,1320,1542,1283,1110
"AP3M1",516,504,457,456,442,326
"AP3M2",38,36,36,21,23,19
"AP3S1",171,144,159,163,141,106
"AP4B1",166,162,205,197,179,153
"AP4E1",71,92,82,73,49,51
"AP4M1",61,62,63,76,85,51
"AP4S1",78,104,64,111,116,73
"APAF1",237,192,241,140,129,63
"APBA1",31,16,22,18,8,4
"APBA2",5,5,2,3,4,4
"APBA3",407,390,410,696,610,482
"APBB1",25,22,25,22,36,19
"APBB1IP",221,136,168,57,35,24
"APBB3",404,504,392,312,452,324
"APC",348,341,402,569,479,323
"APC2",9,13,11,26,28,26
"APCS",2716,3006,3153,6215,6636,5792
"APEH",593,570,594,643,658,546
"APEX1",280,302,310,233,198,209
"APH1A",1015,958,872,1232,1202,874
"APH1B",166,151,179,147,188,102
"API5",2060,2020,1781,1728,1468,1356
"APIP",53,64,51,53,61,47
"APITD1",26,27,32,18,24,15
"APLF",57,30,41,53,68,30
"APLN",43,20,34,5,7,7
"APLNR",20,8,48,0,6,2
"APLP1",108,57,105,158,32,56
"APOA1BP",214,210,225,307,294,223
"APOA2",1103,1889,2160,5418,5065,2074
"APOA4",473,708,532,1000,1875,1875
"APOA5",7516,8018,6993,12356,13638,9177
"APOB",59292,77595,63664,93222,78056,57243
"APOBEC1",140,137,134,65,59,55
"APOBEC2",5,2,1,4,4,1
"APOBEC3B",44,18,27,4,6,3
"APOBR",64,32,44,26,28,11
"APOC1",7061,8759,5095,26838,22741,18008
"APOC2",1992,3160,2362,6862,5671,4361
"APOC4",862,1209,1026,2742,1884,1799
"APOD",9,4,7,0,2,0
"APOE",65797,68615,62975,142041,130769,106392
"APOF",480,522,2261,3302,3358,2947
"APOH",20385,26699,22043,47796,46268,36445
"APOL3",313,707,436,268,97,79
"APOL9A",376,513,376,613,524,314
"APOLD1",149,225,72,48,70,36
"APOM",1729,2141,2393,3339,3961,3020
"APON",641,966,954,1505,1964,1285
"APOO",123,109,105,102,95,80
"APOOL",267,260,251,242,237,161
"APOPT1",195,174,209,248,239,187
"APP",3192,2287,2916,1437,1830,743
"APPBP2",505,482,528,606,514,344
"APPL2",345,459,433,261,318,203
"APRT",439,365,387,227,258,208
"APTX",51,52,51,62,50,45
"AQP1",291,169,198,319,192,182
"AQP11",49,65,54,70,115,90
"AQP12A",1,5,5,1,0,0
"AQP3",5,0,10,0,4,0
"AQP4",1,3,2,0,5,0
"AQP5",52,23,39,21,60,37
"AQP7",41,33,32,6,31,8
"AQP8",1053,1481,1444,1806,1690,982
"AQP9",680,1365,1230,2786,2059,1802
"AQR",375,310,313,408,323,288
"AR",3,7,5,3,1,1
"ARAF",753,746,764,1070,1051,771
"ARAP2",129,152,129,161,122,115
"ARC",1,1,1,0,13,2
"ARCN1",2523,2522,2426,2882,2432,2110
