"Feature","NIT_1","NIT_2","NIT_3","CTL_1","CTL_2","CTL_3"
"LSM12",564,485,497,635,518,508
"LSM14A",568,474,573,576,533,383
"LSM3",113,85,109,50,47,29
"LSM4",231,178,217,139,142,103
"LSM5",95,72,76,77,61,60
"LSM6",40,47,65,36,35,31
"LSM7",84,79,88,81,64,70
"LSMD1",189,212,194,235,252,179
"LSP1",186,112,166,47,53,24
"LSR",859,920,918,1228,1121,728
"LSS",259,339,637,1137,892,939
"LST1",69,54,46,15,9,6
"LTA",2,4,2,0,1,0
"LTA4H",986,811,790,392,349,246
"LTB",39,27,39,13,9,8
"LTB4R",2,1,2,1,2,0
"LTBP1",378,294,418,192,257,128
"LTBP2",293,169,260,40,102,57
"LTBP3",107,76,78,69,105,43
"LTBP4",615,556,576,431,915,364
"LTBR",1424,1515,1303,1725,1641,1307
"LTC4S",8,8,4,6,0,6
"LTK",20,8,28,1,4,2
"LTN1",480,542,606,854,718,694
"LTV1",206,162,150,145,139,135
"LUC7L",169,142,146,201,173,147
"LUC7L2",842,833,901,1349,1247,1120
"LUC7L3",442,368,463,602,542,476
"LUM",176,19,24,11,7,33
"LUZP1",414,406,430,400,417,237
"LXN",35,15,24,4,10,8
"LY49S6",3,2,4,0,0,0
"LY49S7",3,2,1,3,1,0
"LY49SI1",10,5,4,1,0,0
"LY49SI3",2,5,5,1,0,1
"LY6AL",1,136,4,0,2,0
"LY6C",132,69,66,17,10,8
"LY6E",1743,1498,1479,474,471,245
"LY6G6F",1,2,4,0,1,0
"LY86",285,255,199,88,53,35
"LY9",8,6,9,11,1,0
"LY96",7,14,14,5,4,5
"LYAR",91,110,109,93,82,86
"LYC2",191,107,204,135,156,14
"LYL1",57,28,38,14,25,12
"LYN",993,833,857,542,477,289
"LYNX1",45,36,47,58,58,63
"LYPD1",87,83,81,43,28,16
"LYPD3",5,6,8,4,5,2
"LYPLA1",1174,1301,1209,1964,2249,1627
"LYPLA2",422,440,406,586,518,403
"LYPLAL1",150,204,171,242,221,135
"LYRM1",20,17,23,15,11,9
"LYRM2",143,153,141,169,137,155
"LYSMD1",51,66,62,88,89,81
"LYSMD2",133,165,149,79,51,74
"LYSMD3",51,81,66,66,62,45
"LYST",223,303,250,455,587,288
"LYVE1",1146,1079,1106,1299,1365,627
"LYZ2",1802,940,1378,65,71,26
"LZIC",151,150,173,177,128,94
"LZTFL1",56,48,54,79,56,59
"LZTR1",396,404,353,403,365,322
"LZTS1",8,11,9,14,2,14
"LZTS2",77,71,86,62,89,57
"M6PR",1180,1022,1066,1006,893,763
"MGC105560",260,272,299,467,370,286
"MGC105567",183,133,114,52,61,10
"MGC105649",108,64,85,11,6,1
"MGC108823",875,1217,523,354,243,135
"MGC109340",6,2,2,0,0,1
"MGC112715",352,253,280,141,110,67
"MGC112830",373,306,401,262,238,227
"MGC114492",5,7,4,1,3,3
"MGC116121",61,44,49,109,65,48
"MGC116197",2,0,2,1,0,2
"MGC125002",66,41,46,74,68,47
"MGC125086",57,40,45,77,59,81
"MGC93861",16,19,12,57,69,48
"MGC94190",651,701,741,777,739,610
"MGC94199",55,43,53,29,39,26
"MGC94207",385,386,350,532,478,368
"MGC94282",29,29,21,44,30,32
"MGC94335",223,277,227,305,266,297
"MGC95152",101,86,79,160,117,88
"MGC95208",15,12,18,18,14,11
"MGC95210",66,23,44,52,57,45
"MAB21L2",6,0,9,3,1,3
"MAB21L3",379,322,267,237,406,167
"MACROD1",170,205,172,451,506,360
"MAD1L1",231,249,233,330,239,193
"MAD2L1",86,80,97,30,33,18
"MAD2L1BP",90,109,96,97,166,71
"MAD2L2",93,105,84,91,78,83
"MADD",142,114,142,198,178,90
"MAEA",756,721,668,839,911,532
"MAF",161,166,211,298,289,141
"MAF1",263,238,258,286,252,186
"MAFB",396,797,618,370,828,248
"MAFF",262,352,135,10,15,7
"MAFG",202,204,227,299,274,227
"MAFK",452,440,366,194,199,153
"MAGED1",1167,1316,1136,1199,1271,774
"MAGED2",246,182,225,87,114,56
"MAGEE1",64,69,62,19,27,10
"MAGEH1",53,57,58,75,44,54
"MAGI1",131,113,113,160,160,116
"MAGI3",344,286,327,296,257,251
"MAGIX",25,28,25,71,61,48
"MAGMAS",130,151,107,154,109,127
"MAGOH",168,155,178,132,143,108
"MAGOHB",18,28,28,21,15,21
"MAGT1",341,429,454,518,458,420
"MAK16",119,103,128,101,86,73
"MAL",50,39,41,11,15,6
"MAL2",1218,1286,1335,1183,1141,1157
"MALL",4,1,3,0,0,1
