"Feature","pvals","qvals","log.pvals","F.stat","den.df"
"ERCC-00002",0.00216892544783068,0.0660950107748071,-6.133523419406,20.7544683464061,3.53521266699344
"ERCC-00003",0.000473984693932339,0.036794847399438,-7.65433552807256,34.3505992845339,3.53521266699344
"ERCC-00004",5.79082443232597e-06,0.00574583057228115,-12.059235887513,125.380892699164,3.53521266699344
"ERCC-00009",0.885222080777308,0.681195048117344,-0.121916726722643,0.0222955360903958,3.53521266699344
"ERCC-00013",0.661748377058951,0.615664791002323,-0.412869890376686,0.207266232747661,3.53521266699344
"ERCC-00019",0.00172557599166849,0.0606163873996368,-6.36219437602014,22.463324472735,3.53521266699344
"ERCC-00022",0.00116810153878548,0.0494319583277914,-6.75237546446296,25.6315830053165,3.53521266699344
"ERCC-00025",0.774622030001986,0.651929260429643,-0.255380071817932,0.0881005797596404,3.53521266699344
"ERCC-00028",0.00760168580365661,0.104044084583535,-4.87938524001684,13.0383726765889,3.53521266699344
"ERCC-00031",0.69407332702835,0.625705715719563,-0.365177665514512,0.167098245830684,3.53521266699344
"ERCC-00033",0.106664805012711,0.293474116725905,-2.23806402501461,3.35498457640547,3.53521266699344
"ERCC-00034",0.322585799811142,0.462911517001182,-1.13138613220423,1.1203719223478,3.53521266699344
"ERCC-00035",0.656700451054874,0.613766652378745,-0.420527298934717,0.214018135877854,3.53521266699344
"ERCC-00039",0.27122788547817,0.432156080370335,-1.30479590564215,1.40941545372579,3.53521266699344
"ERCC-00040",0.126434326955738,0.31459984882702,-2.06803226012201,2.95172015399051,3.53521266699344
"ERCC-00042",0.867363046812953,0.676187807739233,-0.142297650733066,0.0298581549698805,3.53521266699344
"ERCC-00043",0.000563571357259744,0.0386046379722925,-7.48121660027493,32.5106593876301,3.53521266699344
"ERCC-00044",0.010589031303597,0.116110701653102,-4.54793659630087,11.399287889883,3.53521266699344
"ERCC-00046",0.000331208622970475,0.0342606718699182,-8.01276210025321,38.4405879623226,3.53521266699344
"ERCC-00051",0.735749914634239,0.637975442499414,-0.306865007894061,0.122664417610193,3.53521266699344
"ERCC-00053",0.344106640086644,0.475307777098338,-1.06680366939702,1.01882406299316,3.53521266699344
"ERCC-00054",0.285950790624627,0.441577211898259,-1.25193554371949,1.31881978406079,3.53521266699344
"ERCC-00058",0.0109695410107646,0.117561443426969,-4.51263284597465,11.2332510677141,3.53521266699344
"ERCC-00059",0.113316205051789,0.300639834485518,-2.17757309335759,3.20897335217301,3.53521266699344
