"Feature","pvals","qvals","log.pvals","F.stat","den.df"
"ERCC-00002",0.00226386201614221,0.0664445398625093,-6.09068306743219,20.4558046442599,3.53105273449444
"ERCC-00003",0.000447102008762826,0.0365827402237606,-7.71272378186298,35.0137503604769,3.53105273449444
"ERCC-00004",5.30127657363762e-06,0.00545147940989069,-12.1475629034585,128.668613087969,3.53105273449444
"ERCC-00009",0.886026277483864,0.681830592904996,-0.121008670257196,0.0219824261238838,3.53105273449444
"ERCC-00013",0.662712974257718,0.616663130289955,-0.411413302204667,0.206000243989613,3.53105273449444
"ERCC-00019",0.00169877908528079,0.0594693160634468,-6.37784547106739,22.5958792602771,3.53105273449444
"ERCC-00022",0.00112765538020589,0.0479111684379372,-6.78761468658705,25.9489037742691,3.53105273449444
"ERCC-00025",0.774855757201145,0.652521243652515,-0.255078386691677,0.0879152934555672,3.53105273449444
"ERCC-00028",0.00767216558443883,0.104637190262882,-4.87015635867786,12.995509746137,3.53105273449444
"ERCC-00031",0.694281224411837,0.626126992583218,-0.364878178060353,0.166863674785274,3.53105273449444
"ERCC-00033",0.107818594735148,0.294680278855311,-2.22730514247753,3.32929973666775,3.53105273449444
"ERCC-00034",0.32110874513841,0.463015346624275,-1.1359754433201,1.12780332534311,3.53105273449444
"ERCC-00035",0.658071908017549,0.614918017941584,-0.418441070926297,0.212179936901172,3.53105273449444
"ERCC-00039",0.271635621040486,0.433324744830922,-1.30329373931823,1.40693347568068,3.53105273449444
"ERCC-00040",0.127789488991229,0.315373222806876,-2.0573709861861,2.92756818026902,3.53105273449444
"ERCC-00042",0.868282697337007,0.677196845224287,-0.141237929170393,0.0294420381696071,3.53105273449444
"ERCC-00043",0.000577010903273678,0.0385924907663804,-7.45764939514653,32.2871714244776,3.53105273449444
"ERCC-00044",0.0105134181319164,0.115844839429011,-4.55510292033466,11.4370754239656,3.53105273449444
"ERCC-00046",0.000310398189611494,0.0335992426298758,-8.07765460210942,39.2513324200935,3.53105273449444
"ERCC-00051",0.73490750830633,0.638549959161697,-0.308010626726703,0.123490005618093,3.53105273449444
"ERCC-00053",0.34345838635885,0.475036593551694,-1.06868932062982,1.0218161926507,3.53105273449444
"ERCC-00054",0.284403960245853,0.440620824787674,-1.25735965623491,1.32812842137732,3.53105273449444
"ERCC-00058",0.0111616444848723,0.118877674517276,-4.4952719776094,11.1559167598661,3.53105273449444
"ERCC-00059",0.112629155308934,0.300349002632918,-2.18365466864936,3.22399108988189,3.53105273449444
"ERCC-00060",0.966253506612947,0.701530801729989,-0.034329049992191,0.00191267563245748,3.53105273449444
"ERCC-00062",2.48052401675438e-05,0.0127540276528121,-10.604455630035,83.1561490240887,3.53105273449444
"ERCC-00067",0.451136830225439,0.531407835527102,-0.795984592532734,0.631448188409936,3.53105273449444
"ERCC-00069",0.560276949242895,0.57788177776216,-0.579324065284131,0.371197765031997,3.53105273449444
"ERCC-00071",0.0754720690433812,0.260189104215314,-2.58399263761951,4.2460292845772,3.53105273449444
"ERCC-00074",0.0223349064715888,0.16019565380973,-3.80160451171363,8.21168122648824,3.53105273449444
"ERCC-00076",0.00542545745685554,0.0927815850268276,-5.21665305926633,14.8703809763741,3.53105273449444
"ERCC-00077",0.148592032148396,0.337870955723458,-1.90655076759503,2.58941438657885,3.53105273449444
"ERCC-00078",0.0038276451962842,0.081081595672018,-5.56550549613322,16.9437220917679,3.53105273449444
"ERCC-00079",0.00502843002309093,0.090916961882699,-5.29264746623684,15.3055825722607,3.53105273449444
"ERCC-00084",0.826327004932372,0.668362680881295,-0.190764694056195,0.0516117532625459,3.53105273449444
"ERCC-00085",0.206963750403078,0.390962387639301,-1.57521161987757,1.90627469483755,3.53105273449444
"ERCC-00092",0.000157345859447303,0.0252892292241783,-8.75706424908478,48.3260756261771,3.53105273449444
"ERCC-00095",0.0030496865452029,0.0748152291212426,-5.79271646570885,18.4026230909747,3.53105273449444
"ERCC-00096",0.79595980414903,0.659946126659861,-0.228206591712999,0.071775383925122,3.53105273449444
"ERCC-00099",0.0772200047709958,0.2631081878685,-2.56109672636159,4.18411573769081,3.53105273449444
"ERCC-00108",5.79476681102193e-05,0.0170255767733358,-9.75597022867376,65.0315697219583,3.53105273449444
"ERCC-00109",0.87540080273691,0.679229407545589,-0.133073437231348,0.0263149887459361,3.53105273449444
"ERCC-00111",0.0561651078087822,0.234166791435145,-2.87945957238929,5.08426160681739,3.53105273449444
"ERCC-00112",0.0185819333077765,0.146987857062796,-3.98556549784617,8.93853091542026,3.53105273449444
"ERCC-00113",0.0338421058720629,0.190820921389653,-3.38604951591843,6.70075387741019,3.53105273449444
"ERCC-00116",0.000276125818357142,0.0313755807780692,-8.19465393250854,40.6994579296377,3.53105273449444
"ERCC-00130",3.51308954705506e-05,0.0144505083368865,-10.2564296018164,75.2246997079644,3.53105273449444
"ERCC-00131",4.17930484007967e-05,0.0154706959417049,-10.082780538465,71.5332939523329,3.53105273449444
"ERCC-00136",9.67370057464958e-05,0.0234065617825835,-9.24351454260421,55.9085118644921,3.53105273449444
"ERCC-00143",0.639136402196952,0.608039741621259,-0.447637385417305,0.23857991393785,3.53105273449444
"ERCC-00144",0.0215620113855762,0.157254858450361,-3.83682224482638,8.3479760349087,3.53105273449444
"ERCC-00145",0.00460124647969449,0.0881789397585518,-5.38142803834724,15.8254328019315,3.53105273449444
"ERCC-00148",0.640251904803931,0.608204686836271,-0.445893578812932,0.236970742577543,3.53105273449444
"ERCC-00154",0.182927726892494,0.370492555884007,-1.69866413916178,2.15124943069427,3.53105273449444
