"","Feature","MnCnt","Pval","LogPval","F.stat","Fold","Den.df"
"1","ERCC-00002",1162406.125,2.80313206499535e-22,-49.6261346592075,874.147484061093,0.5,21.3128309770922
"2","ERCC-00003",95757.625,2.4498370201614e-25,-56.6686058248903,1481.80377439366,0.5,21.3128309770922
"3","ERCC-00004",128395.25,1.19435619435127e-32,-73.5051156851005,5148.24279086188,4,21.3128309770922
"4","ERCC-00009",36223.125,0.524899569237866,-0.644548331379838,0.414831756703762,1,21.3128309770922
"5","ERCC-00013",97.625,4.84021658552739e-06,-12.238551089161,32.1734341499535,0.5,21.3128309770922
"6","ERCC-00014",67.125,0.00019489952798949,-8.54302637326236,18.4971301896089,0.5,21.3128309770922
"7","ERCC-00019",679.875,9.50436047415393e-19,-41.497366076308,470.217119561033,4,21.3128309770922
"8","ERCC-00022",11023.625,1.92106938243726e-21,-47.7014049518661,755.769317049628,0.5,21.3128309770922
"9","ERCC-00025",2123.625,0.604764049109123,-0.502916898494172,0.274180806865171,1,21.3128309770922
"10","ERCC-00028",128.5,9.60942327520558e-12,-25.3682769077331,126.127934429106,4,21.3128309770922
"11","ERCC-00031",97.5,0.426615090981714,-0.851873098554831,0.651315568568392,1,21.3128309770922
"12","ERCC-00033",54.125,9.1588851004883e-06,-11.6007861006065,29.5334109172986,4,21.3128309770922
"13","ERCC-00034",813.25,0.764111703098836,-0.269041292258451,0.091868499294541,1,21.3128309770922
"14","ERCC-00035",4181.75,0.189248079177714,-1.6646965363715,1.81273973375606,1,21.3128309770922
"15","ERCC-00039",174.5,0.000493504110876687,-7.61397936908149,15.6240544272985,0.667,21.3128309770922
"16","ERCC-00040",41.375,0.466179875002135,-0.763183721475842,0.546197703516646,0.667,21.3128309770922
"17","ERCC-00041",18.875,0.0581643437713856,-2.84448276196762,3.9102687074254,0.5,21.3128309770922
"18","ERCC-00042",26815.5,0.0789125217573587,-2.53941535957345,3.33167412895235,1,21.3128309770922
