"","Feature","MnCnt","Pval","LogPval","F.stat","Fold","Den.df"
"1","ERCC-00002",28199,0.00226386201614221,-6.09068306743219,20.4558046442599,0.5,3.53105273449444
"2","ERCC-00003",2264.16666666667,0.000447102008762826,-7.71272378186298,35.0137503604769,0.5,3.53105273449444
"3","ERCC-00004",3420,5.30127657363762e-06,-12.1475629034585,128.668613087969,4,3.53105273449444
"4","ERCC-00009",887,0.886026277483864,-0.121008670257196,0.0219824261238838,1,3.53105273449444
"5","ERCC-00013",2.16666666666667,0.662712974257718,-0.411413302204667,0.206000243989613,0.5,3.53105273449444
"6","ERCC-00019",20.1666666666667,0.00169877908528079,-6.37784547106739,22.5958792602771,4,3.53105273449444
"7","ERCC-00022",260,0.00112765538020589,-6.78761468658705,25.9489037742691,0.5,3.53105273449444
"8","ERCC-00025",51.8333333333333,0.774855757201145,-0.255078386691677,0.0879152934555672,1,3.53105273449444
"9","ERCC-00028",2.83333333333333,0.00767216558443883,-4.87015635867786,12.995509746137,4,3.53105273449444
"10","ERCC-00031",3.5,0.694281224411837,-0.364878178060353,0.166863674785274,1,3.53105273449444
"11","ERCC-00033",1.16666666666667,0.107818594735148,-2.22730514247753,3.32929973666775,4,3.53105273449444
"12","ERCC-00034",20.8333333333333,0.32110874513841,-1.1359754433201,1.12780332534311,1,3.53105273449444
"13","ERCC-00035",89,0.658071908017549,-0.418441070926297,0.212179936901172,1,3.53105273449444
"14","ERCC-00039",3.66666666666667,0.271635621040486,-1.30329373931823,1.40693347568068,0.667,3.53105273449444
"15","ERCC-00040",1.5,0.127789488991229,-2.0573709861861,2.92756818026902,0.667,3.53105273449444
"16","ERCC-00042",671.333333333333,0.868282697337007,-0.141237929170393,0.0294420381696071,1,3.53105273449444
"17","ERCC-00043",1210.33333333333,0.000577010903273678,-7.45764939514653,32.2871714244776,0.5,3.53105273449444
"18","ERCC-00044",33,0.0105134181319164,-4.55510292033466,11.4370754239656,0.667,3.53105273449444
"19","ERCC-00046",5928.33333333333,0.000310398189611494,-8.07765460210942,39.2513324200935,0.5,3.53105273449444
"20","ERCC-00051",13.5,0.73490750830633,-0.308010626726703,0.123490005618093,1,3.53105273449444
"21","ERCC-00053",37.1666666666667,0.34345838635885,-1.06868932062982,1.0218161926507,1,3.53105273449444
"22","ERCC-00054",9.66666666666667,0.284403960245853,-1.25735965623491,1.32812842137732,0.667,3.53105273449444
"23","ERCC-00058",1.83333333333333,0.0111616444848723,-4.4952719776094,11.1559167598661,0.667,3.53105273449444
"24","ERCC-00059",16.1666666666667,0.112629155308934,-2.18365466864936,3.22399108988189,0.5,3.53105273449444
"25","ERCC-00060",361.833333333333,0.966253506612947,-0.034329049992191,0.00191267563245748,1,3.53105273449444
"26","ERCC-00062",58.8333333333333,2.48052401675438e-05,-10.604455630035,83.1561490240887,4,3.53105273449444
"27","ERCC-00067",1.83333333333333,0.451136830225439,-0.795984592532734,0.631448188409936,1,3.53105273449444
"28","ERCC-00069",3.16666666666667,0.560276949242895,-0.579324065284131,0.371197765031997,0.5,3.53105273449444
"29","ERCC-00071",55,0.0754720690433812,-2.58399263761951,4.2460292845772,0.667,3.53105273449444
"30","ERCC-00074",16744.8333333333,0.0223349064715888,-3.80160451171363,8.21168122648824,0.667,3.53105273449444
"31","ERCC-00076",232,0.00542545745685554,-5.21665305926633,14.8703809763741,0.667,3.53105273449444
"32","ERCC-00077",2,0.148592032148396,-1.90655076759503,2.58941438657885,0.5,3.53105273449444
"33","ERCC-00078",62.6666666666667,0.0038276451962842,-5.56550549613322,16.9437220917679,0.5,3.53105273449444
"34","ERCC-00079",112.833333333333,0.00502843002309093,-5.29264746623684,15.3055825722607,0.5,3.53105273449444
"35","ERCC-00084",38.1666666666667,0.826327004932372,-0.190764694056195,0.0516117532625459,0.667,3.53105273449444
"36","ERCC-00085",4.16666666666667,0.206963750403078,-1.57521161987757,1.90627469483755,4,3.53105273449444
"37","ERCC-00092",200.666666666667,0.000157345859447303,-8.75706424908478,48.3260756261771,4,3.53105273449444
"38","ERCC-00095",24,0.0030496865452029,-5.79271646570885,18.4026230909747,4,3.53105273449444
"39","ERCC-00096",10188.5,0.79595980414903,-0.228206591712999,0.071775383925122,1,3.53105273449444
"40","ERCC-00099",31.5,0.0772200047709958,-2.56109672636159,4.18411573769081,0.667,3.53105273449444
"41","ERCC-00108",831.333333333333,5.79476681102193e-05,-9.75597022867376,65.0315697219583,4,3.53105273449444
"42","ERCC-00109",1.33333333333333,0.87540080273691,-0.133073437231348,0.0263149887459361,1,3.53105273449444
